,K,S,q,r,sigma,t,price
194,52.0,91.1,0.0,0.1882,0.3874180606791659,0.75,0.14074867461913237
195,52.0,91.1,0.0,0.1882,0.3874180606791659,1.0,0.24251356592208978
196,52.0,91.1,0.0,0.1882,0.7066863283197075,0.25,0.4088077082164562
197,52.0,91.1,0.0,0.1882,0.7066863283197075,0.5,1.4298899349314873
198,52.0,91.1,0.0,0.1882,0.7066863283197075,0.75,2.37840279776804
199,52.0,91.1,0.0,0.1882,0.7066863283197075,1.0,3.1576765718159643
200,52.0,91.1,0.0,0.0118,0.02776319114275506,0.25,0.0
201,52.0,91.1,0.0,0.0118,0.02776319114275506,0.5,8.236022492148069e-185
202,52.0,91.1,0.0,0.0118,0.02776319114275506,0.75,1.6308439965706815e-125
203,52.0,91.1,0.0,0.0118,0.02776319114275506,1.0,8.096218472940976e-96
204,52.0,91.1,0.0,0.0118,0.16424854217092363,0.25,2.6531683930372544e-12
205,52.0,91.1,0.0,0.0118,0.16424854217092363,0.5,8.097813524970525e-07
206,52.0,91.1,0.0,0.0118,0.16424854217092363,0.75,6.821745577041577e-05
207,52.0,91.1,0.0,0.0118,0.16424854217092363,1.0,0.0006936632309827813
208,52.0,91.1,0.0,0.0118,0.26544998329566,0.25,2.117620435327387e-05
209,52.0,91.1,0.0,0.0118,0.26544998329566,0.5,0.0045896283430898865
210,52.0,91.1,0.0,0.0118,0.26544998329566,0.75,0.03364820168928101
211,52.0,91.1,0.0,0.0118,0.26544998329566,1.0,0.09959397078991007
212,52.0,91.1,0.0,0.0118,0.3874180606791659,0.25,0.0069422967294891485
213,52.0,91.1,0.0,0.0118,0.3874180606791659,0.5,0.13167246029005372
214,52.0,91.1,0.0,0.0118,0.3874180606791659,0.75,0.41848292425866696
215,52.0,91.1,0.0,0.0118,0.3874180606791659,1.0,0.806140734828062
216,52.0,91.1,0.0,0.0118,0.7066863283197075,0.25,0.5642566975449084
217,52.0,91.1,0.0,0.0118,0.7066863283197075,0.5,2.1547113836868963
218,52.0,91.1,0.0,0.0118,0.7066863283197075,0.75,3.866755642313151
219,52.0,91.1,0.0,0.0118,0.7066863283197075,1.0,5.5026047730930845
220,52.0,91.1,0.0,0.0559,0.02776319114275506,0.25,0.0
221,52.0,91.1,0.0,0.0559,0.02776319114275506,0.5,3.3492573135073224e-199
222,52.0,91.1,0.0,0.0559,0.02776319114275506,0.75,3.919571288605269e-140
223,52.0,91.1,0.0,0.0559,0.02776319114275506,1.0,1.1512980499298593e-110
224,52.0,91.1,0.0,0.0559,0.16424854217092363,0.25,1.003202509661885e-12
225,52.0,91.1,0.0,0.0559,0.16424854217092363,0.5,2.9075222753883515e-07
226,52.0,91.1,0.0,0.0559,0.16424854217092363,0.75,2.3330231590658867e-05
227,52.0,91.1,0.0,0.0559,0.16424854217092363,1.0,0.00022650394785982998
228,52.0,91.1,0.0,0.0559,0.26544998329566,0.25,1.4254998372114351e-05
229,52.0,91.1,0.0,0.0559,0.26544998329566,0.5,0.0029735626833026383
230,52.0,91.1,0.0,0.0559,0.26544998329566,0.75,0.02106176319429262
231,52.0,91.1,0.0,0.0559,0.26544998329566,1.0,0.06038402057278449
232,52.0,91.1,0.0,0.0559,0.3874180606791659,0.25,0.005664089350066572
233,52.0,91.1,0.0,0.0559,0.3874180606791659,0.5,0.10420311728074991
234,52.0,91.1,0.0,0.0559,0.3874180606791659,0.75,0.3224679679214092
235,52.0,91.1,0.0,0.0559,0.3874180606791659,1.0,0.6062737120600848
236,52.0,91.1,0.0,0.0559,0.7066863283197075,0.25,0.5211804122401749
237,52.0,91.1,0.0,0.0559,0.7066863283197075,0.5,1.948988648543744
238,52.0,91.1,0.0,0.0559,0.7066863283197075,0.75,3.4351611307393015
239,52.0,91.1,0.0,0.0559,0.7066863283197075,1.0,4.808921880006602
240,52.0,91.1,0.0,0.09999999999999999,0.02776319114275506,0.25,0.0
241,52.0,91.1,0.0,0.09999999999999999,0.02776319114275506,0.5,3.868100983060216e-214
242,52.0,91.1,0.0,0.09999999999999999,0.02776319114275506,0.75,1.4282830306852087e-155
243,52.0,91.1,0.0,0.09999999999999999,0.02776319114275506,1.0,1.3264453902499671e-126
244,52.0,91.1,0.0,0.09999999999999999,0.16424854217092363,0.25,3.7278404564868133e-13
245,52.0,91.1,0.0,0.09999999999999999,0.16424854217092363,0.5,1.0091245548577437e-07
246,52.0,91.1,0.0,0.09999999999999999,0.16424854217092363,0.75,7.590362217140484e-06
247,52.0,91.1,0.0,0.09999999999999999,0.16424854217092363,1.0,6.926789723116614e-05
248,52.0,91.1,0.0,0.09999999999999999,0.26544998329566,0.25,9.534814594880738e-06
249,52.0,91.1,0.0,0.09999999999999999,0.26544998329566,0.5,0.0019031135464198546
250,52.0,91.1,0.0,0.09999999999999999,0.26544998329566,0.75,0.012950569811765407
251,52.0,91.1,0.0,0.09999999999999999,0.26544998329566,1.0,0.035769326817904984
252,52.0,91.1,0.0,0.09999999999999999,0.3874180606791659,0.25,0.004608089060607003
253,52.0,91.1,0.0,0.09999999999999999,0.3874180606791659,0.5,0.08202173003621607
