5300/30000 PDE Loss: 0.36206, BC Loss: 3.41250,                   mse loss: 3.774555, combined loss: 8.86248
5350/30000 PDE Loss: 0.20932, BC Loss: 3.34458,                   mse loss: 3.553901, combined loss: 1.78903
5400/30000 PDE Loss: 0.03899, BC Loss: 3.00387,                   mse loss: 3.042862, combined loss: 0.11838
5450/30000 PDE Loss: 0.20394, BC Loss: 3.41900,                   mse loss: 3.622949, combined loss: -0.00710
5500/30000 PDE Loss: 0.04369, BC Loss: 3.02643,                   mse loss: 3.070117, combined loss: 0.17923
5550/30000 PDE Loss: 0.06920, BC Loss: 1.87847,                   mse loss: 1.947675, combined loss: 2.50184
5600/30000 PDE Loss: 0.52626, BC Loss: 0.64218,                   mse loss: 1.168447, combined loss: 0.05107
5650/30000 PDE Loss: 0.04737, BC Loss: 0.68736,                   mse loss: 0.734737, combined loss: 0.00509
5700/30000 PDE Loss: 0.09862, BC Loss: 0.76985,                   mse loss: 0.868463, combined loss: 0.00470
5750/30000 PDE Loss: 0.10193, BC Loss: 0.72862,                   mse loss: 0.830550, combined loss: 0.01114
5800/30000 PDE Loss: 0.10391, BC Loss: 0.70092,                   mse loss: 0.804830, combined loss: 0.01078
5850/30000 PDE Loss: 0.03296, BC Loss: 0.38131,                   mse loss: 0.414272, combined loss: 0.02980
5900/30000 PDE Loss: 0.01074, BC Loss: 0.36493,                   mse loss: 0.375662, combined loss: 0.05652
5950/30000 PDE Loss: 0.08190, BC Loss: 0.85242,                   mse loss: 0.934317, combined loss: 3.45487
6000/30000 PDE Loss: 0.04965, BC Loss: 0.41646,                   mse loss: 0.466113, combined loss: 0.81503
6050/30000 PDE Loss: 0.09072, BC Loss: 0.07767,                   mse loss: 0.168381, combined loss: -0.74377
6100/30000 PDE Loss: 0.08123, BC Loss: 0.06398,                   mse loss: 0.145213, combined loss: 0.42648
6150/30000 PDE Loss: 0.05358, BC Loss: 0.02826,                   mse loss: 0.081842, combined loss: -0.03520
6200/30000 PDE Loss: 0.05769, BC Loss: 0.03668,                   mse loss: 0.094372, combined loss: 0.09302
