8300/30000 PDE Loss: 11.08602, BC Loss: 10.65107,                   mse loss: 21.737091, combined loss: 30287710.00000
8350/30000 PDE Loss: 7.80520, BC Loss: 6.92948,                   mse loss: 14.734680, combined loss: 38411228.00000
8400/30000 PDE Loss: 7.76551, BC Loss: 1.97752,                   mse loss: 9.743025, combined loss: 32831448.00000
8450/30000 PDE Loss: 11.93427, BC Loss: 8.26429,                   mse loss: 20.198566, combined loss: 29447692.00000
8500/30000 PDE Loss: 9.27287, BC Loss: 11.88337,                   mse loss: 21.156239, combined loss: 41785992.00000
8550/30000 PDE Loss: 11.09781, BC Loss: 6.62112,                   mse loss: 17.718925, combined loss: 27655152.00000
8600/30000 PDE Loss: 18.75483, BC Loss: 4.20185,                   mse loss: 22.956680, combined loss: 29509240.00000
8650/30000 PDE Loss: 97.05947, BC Loss: 17.34997,                   mse loss: 114.409447, combined loss: 10455434.00000
8700/30000 PDE Loss: 171.71964, BC Loss: 40.16000,                   mse loss: 211.879639, combined loss: 100195840.00000
8750/30000 PDE Loss: 136.26770, BC Loss: 45.04973,                   mse loss: 181.317429, combined loss: 265918208.00000
8800/30000 PDE Loss: 34.60104, BC Loss: 19.13164,                   mse loss: 53.732677, combined loss: 244840704.00000
8850/30000 PDE Loss: 114.23977, BC Loss: 104.66767,                   mse loss: 218.907440, combined loss: 746511360.00000
8900/30000 PDE Loss: 43.80455, BC Loss: 56.58814,                   mse loss: 100.392700, combined loss: 609727040.00000
8950/30000 PDE Loss: 22.12708, BC Loss: 32.51952,                   mse loss: 54.646599, combined loss: 489488800.00000
9000/30000 PDE Loss: 14.95105, BC Loss: 18.11283,                   mse loss: 33.063877, combined loss: 171594352.00000
9050/30000 PDE Loss: 12.60093, BC Loss: 8.04806,                   mse loss: 20.648987, combined loss: 94497592.00000
9100/30000 PDE Loss: 9.42747, BC Loss: 10.86615,                   mse loss: 20.293619, combined loss: -89637888.00000
9150/30000 PDE Loss: 9.13275, BC Loss: 11.88461,                   mse loss: 21.017366, combined loss: -45805840.00000
9200/30000 PDE Loss: 11.46940, BC Loss: 5.26871,                   mse loss: 16.738102, combined loss: -62677720.00000
9250/30000 PDE Loss: 15.50888, BC Loss: 4.45022,                   mse loss: 19.959106, combined loss: 4551324.00000
9300/30000 PDE Loss: 11.22184, BC Loss: 3.49162,                   mse loss: 14.713460, combined loss: 125614232.00000
9350/30000 PDE Loss: 5.33106, BC Loss: 1.46348,                   mse loss: 6.794542, combined loss: 75243136.00000
9400/30000 PDE Loss: 9.35911, BC Loss: 4.21307,                   mse loss: 13.572184, combined loss: -605222.00000
9450/30000 PDE Loss: 11.62394, BC Loss: 3.87600,                   mse loss: 15.499933, combined loss: 68625392.00000
9500/30000 PDE Loss: 4.44988, BC Loss: 2.37303,                   mse loss: 6.822904, combined loss: 98461968.00000
9550/30000 PDE Loss: 3.69191, BC Loss: 0.94629,                   mse loss: 4.638199, combined loss: 37749100.00000
9600/30000 PDE Loss: 6.90639, BC Loss: 12.45468,                   mse loss: 19.361076, combined loss: -23598912.00000
9650/30000 PDE Loss: 14.48258, BC Loss: 1331.34387,                   mse loss: 1345.826416, combined loss: 1683480832.00000
9700/30000 PDE Loss: 109.12749, BC Loss: 590.42859,                   mse loss: 699.556091, combined loss: 4320385024.00000
9750/30000 PDE Loss: 37.04442, BC Loss: 102.36151,                   mse loss: 139.405930, combined loss: 2212691712.00000
9800/30000 PDE Loss: 76.20632, BC Loss: 56.13299,                   mse loss: 132.339310, combined loss: 239748336.00000
9850/30000 PDE Loss: 265.64215, BC Loss: 514.08875,                   mse loss: 779.730896, combined loss: 1529424384.00000
9900/30000 PDE Loss: 149.09256, BC Loss: 190.36212,                   mse loss: 339.454681, combined loss: -97822592.00000
9950/30000 PDE Loss: 330.40967, BC Loss: 949.50378,                   mse loss: 1279.913452, combined loss: -1482990848.00000
10000/30000 PDE Loss: 180.95567, BC Loss: 219.85513,                   mse loss: 400.810791, combined loss: 10287616.00000
10050/30000 PDE Loss: 234.10315, BC Loss: 402.56021,                   mse loss: 636.663330, combined loss: 692254336.00000
10100/30000 PDE Loss: 242.02968, BC Loss: 531.12518,                   mse loss: 773.154846, combined loss: 810361600.00000
10150/30000 PDE Loss: 233.03432, BC Loss: 476.28809,                   mse loss: 709.322388, combined loss: 1347369984.00000
10200/30000 PDE Loss: 206.66751, BC Loss: 412.52689,                   mse loss: 619.194397, combined loss: 1902024832.00000
10250/30000 PDE Loss: 150.06468, BC Loss: 281.29633,                   mse loss: 431.361023, combined loss: 2412063232.00000
10300/30000 PDE Loss: 249.89348, BC Loss: 194.63054,                   mse loss: 444.524017, combined loss: 548371520.00000
10350/30000 PDE Loss: 3475.39990, BC Loss: 1431.61792,                   mse loss: 4907.017578, combined loss: -8249083904.00000
10400/30000 PDE Loss: 1790.79614, BC Loss: 1562.66638,                   mse loss: 3353.462402, combined loss: 4001426944.00000
10450/30000 PDE Loss: 965.55573, BC Loss: 146.21307,                   mse loss: 1111.768799, combined loss: 6508926464.00000
10500/30000 PDE Loss: 2880.74194, BC Loss: 1564.26904,                   mse loss: 4445.010742, combined loss: -6708071424.00000
10550/30000 PDE Loss: 66.61019, BC Loss: 97.71015,                   mse loss: 164.320343, combined loss: -851511680.00000
10600/30000 PDE Loss: 53.17827, BC Loss: 82.57347,                   mse loss: 135.751740, combined loss: -956185728.00000
10650/30000 PDE Loss: 84.21848, BC Loss: 95.44922,                   mse loss: 179.667694, combined loss: -815729728.00000
10700/30000 PDE Loss: 73.33130, BC Loss: 74.91801,                   mse loss: 148.249298, combined loss: -577870080.00000
10750/30000 PDE Loss: 193.09343, BC Loss: 151.32794,                   mse loss: 344.421387, combined loss: -30886640.00000
10800/30000 PDE Loss: 71.96443, BC Loss: 77.25877,                   mse loss: 149.223206, combined loss: 362035808.00000
10850/30000 PDE Loss: 41.66881, BC Loss: 70.49948,                   mse loss: 112.168289, combined loss: 927838528.00000
10900/30000 PDE Loss: 31.21360, BC Loss: 69.35266,                   mse loss: 100.566261, combined loss: 1609418496.00000
10950/30000 PDE Loss: 30.81739, BC Loss: 63.90468,                   mse loss: 94.722069, combined loss: 2466713344.00000
11000/30000 PDE Loss: 4303.69189, BC Loss: 5251.08105,                   mse loss: 9554.773438, combined loss: -1018707072.00000
11050/30000 PDE Loss: 268.81628, BC Loss: 222.40044,                   mse loss: 491.216736, combined loss: -736419584.00000
11100/30000 PDE Loss: 74.75812, BC Loss: 62.44963,                   mse loss: 137.207748, combined loss: 1599890304.00000
11150/30000 PDE Loss: 0.51318, BC Loss: 73.98541,                   mse loss: 74.498596, combined loss: -263387664.00000
11200/30000 PDE Loss: 66.57064, BC Loss: 84.45737,                   mse loss: 151.028015, combined loss: 1807210752.00000
11250/30000 PDE Loss: 33.14039, BC Loss: 68.59437,                   mse loss: 101.734756, combined loss: 3541228800.00000
11300/30000 PDE Loss: 23.23392, BC Loss: 65.37762,                   mse loss: 88.611534, combined loss: 6374639616.00000
