8650/30000 PDE Loss: 0.00322, BC Loss: 0.00122,                   mse loss: 0.004438, combined loss: 0.04424
8700/30000 PDE Loss: 0.00333, BC Loss: 0.00111,                   mse loss: 0.004435, combined loss: 0.04616
8750/30000 PDE Loss: 0.00360, BC Loss: 0.00117,                   mse loss: 0.004769, combined loss: 0.04799
8800/30000 PDE Loss: 0.00369, BC Loss: 0.00123,                   mse loss: 0.004918, combined loss: 0.04983
8850/30000 PDE Loss: 0.00357, BC Loss: 0.00112,                   mse loss: 0.004688, combined loss: 0.05203
8900/30000 PDE Loss: 0.00312, BC Loss: 0.00089,                   mse loss: 0.004005, combined loss: 0.05377
8950/30000 PDE Loss: 0.00347, BC Loss: 0.00177,                   mse loss: 0.005239, combined loss: 0.05444
9000/30000 PDE Loss: 0.00364, BC Loss: 0.00116,                   mse loss: 0.004804, combined loss: 0.05562
9050/30000 PDE Loss: 0.00358, BC Loss: 0.00128,                   mse loss: 0.004866, combined loss: 0.05731
9100/30000 PDE Loss: 0.00359, BC Loss: 0.00120,                   mse loss: 0.004798, combined loss: 0.05831
9150/30000 PDE Loss: 0.00356, BC Loss: 0.00117,                   mse loss: 0.004727, combined loss: 0.06025
9200/30000 PDE Loss: 0.00377, BC Loss: 0.00146,                   mse loss: 0.005234, combined loss: 0.06138
9250/30000 PDE Loss: 0.00375, BC Loss: 0.00131,                   mse loss: 0.005061, combined loss: 0.06392
9300/30000 PDE Loss: 0.00356, BC Loss: 0.00111,                   mse loss: 0.004669, combined loss: 0.06488
9350/30000 PDE Loss: 0.00357, BC Loss: 0.00139,                   mse loss: 0.004966, combined loss: 0.06646
9400/30000 PDE Loss: 0.00363, BC Loss: 0.00126,                   mse loss: 0.004890, combined loss: 0.06834
9450/30000 PDE Loss: 0.00379, BC Loss: 0.00128,                   mse loss: 0.005066, combined loss: 0.06893
9500/30000 PDE Loss: 0.00380, BC Loss: 0.00136,                   mse loss: 0.005156, combined loss: 0.07048
9550/30000 PDE Loss: 0.00375, BC Loss: 0.00134,                   mse loss: 0.005090, combined loss: 0.07281
9600/30000 PDE Loss: 0.00380, BC Loss: 0.00145,                   mse loss: 0.005251, combined loss: 0.07278
9650/30000 PDE Loss: 0.00395, BC Loss: 0.00152,                   mse loss: 0.005465, combined loss: 0.07679
9700/30000 PDE Loss: 0.00383, BC Loss: 0.00117,                   mse loss: 0.004997, combined loss: 0.08131
9750/30000 PDE Loss: 0.00351, BC Loss: 0.00118,                   mse loss: 0.004688, combined loss: 0.08402
9800/30000 PDE Loss: 0.00304, BC Loss: 0.00175,                   mse loss: 0.004787, combined loss: 0.08889
9850/30000 PDE Loss: 0.00354, BC Loss: 0.00099,                   mse loss: 0.004525, combined loss: 0.09014
9900/30000 PDE Loss: 0.00319, BC Loss: 0.00085,                   mse loss: 0.004042, combined loss: 0.09501
9950/30000 PDE Loss: 0.00444, BC Loss: 0.00192,                   mse loss: 0.006363, combined loss: 0.09912
