9650/30000 PDE Loss: 188.99115, BC Loss: 165.47394,                   mse loss: 354.465088, combined loss: 0.00096
9700/30000 PDE Loss: 230.06421, BC Loss: 213.94351,                   mse loss: 444.007721, combined loss: -0.00350
9750/30000 PDE Loss: 345.60608, BC Loss: 298.12567,                   mse loss: 643.731750, combined loss: -0.00606
9800/30000 PDE Loss: 362.48175, BC Loss: 378.55136,                   mse loss: 741.033081, combined loss: -0.00420
9850/30000 PDE Loss: 27.50800, BC Loss: 17.19291,                   mse loss: 44.700905, combined loss: -0.01988
9900/30000 PDE Loss: 27.65982, BC Loss: 11.90185,                   mse loss: 39.561668, combined loss: 0.00621
9950/30000 PDE Loss: 30.35360, BC Loss: 7.95251,                   mse loss: 38.306103, combined loss: 0.00371
10000/30000 PDE Loss: 27.37074, BC Loss: 5.23499,                   mse loss: 32.605736, combined loss: -0.00147
10050/30000 PDE Loss: 31.08468, BC Loss: 7.75091,                   mse loss: 38.835587, combined loss: 0.00176
10100/30000 PDE Loss: 34.57215, BC Loss: 9.85844,                   mse loss: 44.430592, combined loss: -0.00113
10150/30000 PDE Loss: 36.48362, BC Loss: 8.24211,                   mse loss: 44.725731, combined loss: -0.00059
10200/30000 PDE Loss: 48.35952, BC Loss: 14.34805,                   mse loss: 62.707573, combined loss: -0.00166
10250/30000 PDE Loss: 64.37372, BC Loss: 22.93590,                   mse loss: 87.309624, combined loss: -0.00148
10300/30000 PDE Loss: 73.39363, BC Loss: 34.45916,                   mse loss: 107.852791, combined loss: -0.00193
10350/30000 PDE Loss: 91.97482, BC Loss: 47.20100,                   mse loss: 139.175812, combined loss: -0.00058
10400/30000 PDE Loss: 127.13287, BC Loss: 62.90108,                   mse loss: 190.033951, combined loss: -0.00050
10450/30000 PDE Loss: 147.31773, BC Loss: 74.78831,                   mse loss: 222.106049, combined loss: 0.00295
10500/30000 PDE Loss: 145.05981, BC Loss: 74.10275,                   mse loss: 219.162567, combined loss: -0.00278
10550/30000 PDE Loss: 223.08736, BC Loss: 123.07049,                   mse loss: 346.157837, combined loss: 0.00080
10600/30000 PDE Loss: 171.76772, BC Loss: 124.40974,                   mse loss: 296.177460, combined loss: -0.00076
10650/30000 PDE Loss: 143.44528, BC Loss: 141.04347,                   mse loss: 284.488770, combined loss: 0.00019
10700/30000 PDE Loss: 193.98624, BC Loss: 136.03642,                   mse loss: 330.022644, combined loss: -0.00123
10750/30000 PDE Loss: 215.99081, BC Loss: 260.38907,                   mse loss: 476.379883, combined loss: -0.00473
10800/30000 PDE Loss: 356.61203, BC Loss: 239.19160,                   mse loss: 595.803650, combined loss: 0.01610
10850/30000 PDE Loss: 217.61011, BC Loss: 114.79256,                   mse loss: 332.402649, combined loss: 0.00432
10900/30000 PDE Loss: 250.94928, BC Loss: 379.15234,                   mse loss: 630.101624, combined loss: -0.01059
10950/30000 PDE Loss: 313.04056, BC Loss: 272.60666,                   mse loss: 585.647217, combined loss: -0.00659
11000/30000 PDE Loss: 182.00107, BC Loss: 198.17969,                   mse loss: 380.180756, combined loss: 0.00129
11050/30000 PDE Loss: 102.66288, BC Loss: 128.86211,                   mse loss: 231.524994, combined loss: -0.00242
11100/30000 PDE Loss: 77.90466, BC Loss: 104.98750,                   mse loss: 182.892151, combined loss: -0.00133
11150/30000 PDE Loss: 175.28928, BC Loss: 191.61606,                   mse loss: 366.905334, combined loss: -0.00138
11200/30000 PDE Loss: 368.42734, BC Loss: 377.40714,                   mse loss: 745.834473, combined loss: -0.00134
11250/30000 PDE Loss: 606.90582, BC Loss: 540.09662,                   mse loss: 1147.002441, combined loss: 0.00502
11300/30000 PDE Loss: 940.34760, BC Loss: 732.77228,                   mse loss: 1673.119873, combined loss: -0.00888
11350/30000 PDE Loss: 625.78143, BC Loss: 845.53430,                   mse loss: 1471.315674, combined loss: -0.00108
11400/30000 PDE Loss: 1088.01648, BC Loss: 1108.86609,                   mse loss: 2196.882568, combined loss: -0.00487
11450/30000 PDE Loss: 1834.31616, BC Loss: 1578.77380,                   mse loss: 3413.089844, combined loss: -0.03457
11500/30000 PDE Loss: 2008.70752, BC Loss: 1255.45386,                   mse loss: 3264.161377, combined loss: -0.00674
11550/30000 PDE Loss: 1913.49121, BC Loss: 1125.80225,                   mse loss: 3039.293457, combined loss: -0.02906
11600/30000 PDE Loss: 134.05209, BC Loss: 150.50618,                   mse loss: 284.558289, combined loss: -0.02120
11650/30000 PDE Loss: 83.40532, BC Loss: 42.46912,                   mse loss: 125.874443, combined loss: 0.03226
11700/30000 PDE Loss: 100.64270, BC Loss: 45.01721,                   mse loss: 145.659912, combined loss: -0.00848
11750/30000 PDE Loss: 81.23363, BC Loss: 63.52449,                   mse loss: 144.758133, combined loss: -0.00049
11800/30000 PDE Loss: 73.71982, BC Loss: 98.99017,                   mse loss: 172.709991, combined loss: 0.00022
11850/30000 PDE Loss: 77.77076, BC Loss: 105.26318,                   mse loss: 183.033936, combined loss: -0.00034
11900/30000 PDE Loss: 94.30354, BC Loss: 192.20204,                   mse loss: 286.505585, combined loss: -0.00234
11950/30000 PDE Loss: 217.53981, BC Loss: 367.46384,                   mse loss: 585.003662, combined loss: -0.00672
12000/30000 PDE Loss: 456.38727, BC Loss: 690.76581,                   mse loss: 1147.153076, combined loss: -0.00831
12050/30000 PDE Loss: 544.42029, BC Loss: 555.52930,                   mse loss: 1099.949585, combined loss: 0.00553
12100/30000 PDE Loss: 415.30682, BC Loss: 290.04443,                   mse loss: 705.351257, combined loss: 0.00311
12150/30000 PDE Loss: 482.48779, BC Loss: 477.95511,                   mse loss: 960.442871, combined loss: -0.00598
12200/30000 PDE Loss: 468.79898, BC Loss: 474.11209,                   mse loss: 942.911072, combined loss: 0.00180
12250/30000 PDE Loss: 546.92444, BC Loss: 572.80695,                   mse loss: 1119.731445, combined loss: -0.00352
12300/30000 PDE Loss: 533.79248, BC Loss: 620.13843,                   mse loss: 1153.930908, combined loss: 0.00802
12350/30000 PDE Loss: 432.42560, BC Loss: 465.91248,                   mse loss: 898.338074, combined loss: -0.00158
12400/30000 PDE Loss: 455.61111, BC Loss: 467.10532,                   mse loss: 922.716431, combined loss: 0.00014
12450/30000 PDE Loss: 408.99823, BC Loss: 482.83679,                   mse loss: 891.835022, combined loss: -0.00274
12500/30000 PDE Loss: 403.34583, BC Loss: 391.53128,                   mse loss: 794.877075, combined loss: -0.00284
12550/30000 PDE Loss: 644.59326, BC Loss: 771.44202,                   mse loss: 1416.035278, combined loss: -0.00553
12600/30000 PDE Loss: 797.43488, BC Loss: 505.87427,                   mse loss: 1303.309082, combined loss: -0.00518
12650/30000 PDE Loss: 515.96704, BC Loss: 96.61029,                   mse loss: 612.577332, combined loss: -0.00695
12700/30000 PDE Loss: 421.76471, BC Loss: 75.77802,                   mse loss: 497.542725, combined loss: -0.00698
