5500/30000 PDE Loss: 0.08781, BC Loss: 0.38315,                   mse loss: 0.470960, combined loss: 0.00297
5550/30000 PDE Loss: 0.01443, BC Loss: 0.05863,                   mse loss: 0.073066, combined loss: 0.00110
5600/30000 PDE Loss: 0.01582, BC Loss: 0.04072,                   mse loss: 0.056538, combined loss: -0.00052
5650/30000 PDE Loss: 0.01857, BC Loss: 0.03924,                   mse loss: 0.057812, combined loss: 0.00002
5700/30000 PDE Loss: 0.02032, BC Loss: 0.04321,                   mse loss: 0.063525, combined loss: 0.00002
5750/30000 PDE Loss: 0.76451, BC Loss: 4.79126,                   mse loss: 5.555766, combined loss: 1.17028
5800/30000 PDE Loss: 0.65385, BC Loss: 2.38593,                   mse loss: 3.039771, combined loss: 0.02417
5850/30000 PDE Loss: 0.08242, BC Loss: 0.82191,                   mse loss: 0.904324, combined loss: 0.00474
5900/30000 PDE Loss: 0.67668, BC Loss: 0.88343,                   mse loss: 1.560120, combined loss: -0.06986
5950/30000 PDE Loss: 0.29157, BC Loss: 2.29393,                   mse loss: 2.585501, combined loss: 0.04446
6000/30000 PDE Loss: 0.09687, BC Loss: 1.83838,                   mse loss: 1.935246, combined loss: -0.03877
6050/30000 PDE Loss: 0.19706, BC Loss: 1.62933,                   mse loss: 1.826391, combined loss: 0.02259
6100/30000 PDE Loss: 0.13033, BC Loss: 2.22548,                   mse loss: 2.355810, combined loss: -0.00380
6150/30000 PDE Loss: 0.09790, BC Loss: 0.79878,                   mse loss: 0.896685, combined loss: -0.01278
6200/30000 PDE Loss: 0.02455, BC Loss: 0.13994,                   mse loss: 0.164482, combined loss: -0.01425
6250/30000 PDE Loss: 0.05731, BC Loss: 1.45478,                   mse loss: 1.512082, combined loss: -0.00049
6300/30000 PDE Loss: 0.03953, BC Loss: 0.05391,                   mse loss: 0.093436, combined loss: -0.00358
6350/30000 PDE Loss: 0.33285, BC Loss: 1.88337,                   mse loss: 2.216221, combined loss: -0.00170
6400/30000 PDE Loss: 0.16152, BC Loss: 0.22745,                   mse loss: 0.388972, combined loss: -0.00204
6450/30000 PDE Loss: 0.22054, BC Loss: 0.76479,                   mse loss: 0.985330, combined loss: -0.00304
6500/30000 PDE Loss: 0.13972, BC Loss: 0.60736,                   mse loss: 0.747087, combined loss: 0.00239
6550/30000 PDE Loss: 0.13876, BC Loss: 0.47990,                   mse loss: 0.618660, combined loss: 0.00197
6600/30000 PDE Loss: 0.15189, BC Loss: 0.93258,                   mse loss: 1.084470, combined loss: 0.01228
6650/30000 PDE Loss: 0.06741, BC Loss: 0.50354,                   mse loss: 0.570955, combined loss: -0.00258
6700/30000 PDE Loss: 0.07260, BC Loss: 0.05658,                   mse loss: 0.129181, combined loss: -0.00197
6750/30000 PDE Loss: 0.28512, BC Loss: 0.56531,                   mse loss: 0.850427, combined loss: -0.03726
6800/30000 PDE Loss: 0.17123, BC Loss: 0.30252,                   mse loss: 0.473752, combined loss: -0.00891
6850/30000 PDE Loss: 0.04880, BC Loss: 0.28869,                   mse loss: 0.337486, combined loss: -0.00175
6900/30000 PDE Loss: 0.06949, BC Loss: 0.29031,                   mse loss: 0.359797, combined loss: -0.00693
6950/30000 PDE Loss: 0.12408, BC Loss: 0.30299,                   mse loss: 0.427068, combined loss: -0.00263
7000/30000 PDE Loss: 0.09542, BC Loss: 0.31624,                   mse loss: 0.411661, combined loss: -0.00008
7050/30000 PDE Loss: 0.07472, BC Loss: 0.27443,                   mse loss: 0.349153, combined loss: -0.00014
7100/30000 PDE Loss: 0.09922, BC Loss: 0.23126,                   mse loss: 0.330480, combined loss: -0.00142
7150/30000 PDE Loss: 0.08481, BC Loss: 0.17809,                   mse loss: 0.262900, combined loss: 0.00062
7200/30000 PDE Loss: 0.05165, BC Loss: 0.18902,                   mse loss: 0.240668, combined loss: -0.00044
7250/30000 PDE Loss: 0.07510, BC Loss: 0.08130,                   mse loss: 0.156393, combined loss: -0.00028
7300/30000 PDE Loss: 0.02295, BC Loss: 0.09408,                   mse loss: 0.117023, combined loss: 0.00337
7350/30000 PDE Loss: 0.03002, BC Loss: 0.09219,                   mse loss: 0.122210, combined loss: -0.00153
7400/30000 PDE Loss: 0.02321, BC Loss: 0.12627,                   mse loss: 0.149479, combined loss: -0.00004
7450/30000 PDE Loss: 0.02113, BC Loss: 0.05610,                   mse loss: 0.077238, combined loss: -0.00015
7500/30000 PDE Loss: 0.05184, BC Loss: 0.14136,                   mse loss: 0.193200, combined loss: 0.02386
7550/30000 PDE Loss: 0.02271, BC Loss: 0.05219,                   mse loss: 0.074896, combined loss: -0.00050
7600/30000 PDE Loss: 0.04295, BC Loss: 0.04461,                   mse loss: 0.087567, combined loss: 0.00182
7650/30000 PDE Loss: 0.03806, BC Loss: 0.02695,                   mse loss: 0.065004, combined loss: -0.00051
7700/30000 PDE Loss: 27.61907, BC Loss: 70.53662,                   mse loss: 98.155693, combined loss: 0.33277
7750/30000 PDE Loss: 12.05035, BC Loss: 14.47743,                   mse loss: 26.527777, combined loss: -0.10235
7800/30000 PDE Loss: 0.70428, BC Loss: 3.34884,                   mse loss: 4.053115, combined loss: 0.12814
7850/30000 PDE Loss: 0.37681, BC Loss: 3.07313,                   mse loss: 3.449941, combined loss: -0.03990
7900/30000 PDE Loss: 0.11798, BC Loss: 2.31711,                   mse loss: 2.435092, combined loss: 0.00312
7950/30000 PDE Loss: 0.11419, BC Loss: 2.38808,                   mse loss: 2.502275, combined loss: -0.00115
8000/30000 PDE Loss: 0.10819, BC Loss: 1.78008,                   mse loss: 1.888265, combined loss: 0.00013
8050/30000 PDE Loss: 0.04400, BC Loss: 0.67028,                   mse loss: 0.714274, combined loss: 0.00099
8100/30000 PDE Loss: 0.03884, BC Loss: 1.05280,                   mse loss: 1.091639, combined loss: 0.00142
8150/30000 PDE Loss: 0.01691, BC Loss: 0.19166,                   mse loss: 0.208570, combined loss: 0.00078
8200/30000 PDE Loss: 0.03504, BC Loss: 0.31124,                   mse loss: 0.346285, combined loss: -0.00005
8250/30000 PDE Loss: 0.03285, BC Loss: 0.46327,                   mse loss: 0.496123, combined loss: 0.00016
8300/30000 PDE Loss: 0.04910, BC Loss: 0.28667,                   mse loss: 0.335762, combined loss: -0.00142
8350/30000 PDE Loss: 0.09053, BC Loss: 0.27935,                   mse loss: 0.369884, combined loss: 0.03520
8400/30000 PDE Loss: 0.03621, BC Loss: 0.23129,                   mse loss: 0.267504, combined loss: 0.00026
8450/30000 PDE Loss: 0.03713, BC Loss: 0.11203,                   mse loss: 0.149162, combined loss: -0.00098
8500/30000 PDE Loss: 0.04587, BC Loss: 0.05346,                   mse loss: 0.099327, combined loss: 0.00018
8550/30000 PDE Loss: 0.06424, BC Loss: 0.04907,                   mse loss: 0.113302, combined loss: -0.00163
8600/30000 PDE Loss: 0.04364, BC Loss: 0.11053,                   mse loss: 0.154163, combined loss: -0.00031
8650/30000 PDE Loss: 0.02074, BC Loss: 0.04728,                   mse loss: 0.068015, combined loss: -0.00058
8700/30000 PDE Loss: 0.02116, BC Loss: 0.23893,                   mse loss: 0.260087, combined loss: 0.00042
8750/30000 PDE Loss: 0.06771, BC Loss: 0.25454,                   mse loss: 0.322255, combined loss: 0.01066
8800/30000 PDE Loss: 0.03252, BC Loss: 0.72014,                   mse loss: 0.752659, combined loss: 0.00036
8850/30000 PDE Loss: 0.01866, BC Loss: 0.45955,                   mse loss: 0.478208, combined loss: -0.00056
8900/30000 PDE Loss: 0.03674, BC Loss: 0.16896,                   mse loss: 0.205695, combined loss: 0.00106
8950/30000 PDE Loss: 0.01072, BC Loss: 0.27169,                   mse loss: 0.282410, combined loss: 0.00125
9000/30000 PDE Loss: 0.01773, BC Loss: 0.20336,                   mse loss: 0.221088, combined loss: -0.00080
9050/30000 PDE Loss: 0.43076, BC Loss: 0.63143,                   mse loss: 1.062193, combined loss: 0.07126
9100/30000 PDE Loss: 6.18076, BC Loss: 8.97058,                   mse loss: 15.151337, combined loss: -0.29630
9150/30000 PDE Loss: 2.79537, BC Loss: 3.17512,                   mse loss: 5.970485, combined loss: 0.10391
9200/30000 PDE Loss: 0.01296, BC Loss: 0.09752,                   mse loss: 0.110475, combined loss: -0.00378
9250/30000 PDE Loss: 0.00923, BC Loss: 0.20591,                   mse loss: 0.215139, combined loss: -0.00285
9300/30000 PDE Loss: 0.24560, BC Loss: 0.53377,                   mse loss: 0.779362, combined loss: -0.00254
9350/30000 PDE Loss: 0.01761, BC Loss: 0.51557,                   mse loss: 0.533180, combined loss: 0.00016
9400/30000 PDE Loss: 0.02260, BC Loss: 0.21771,                   mse loss: 0.240311, combined loss: -0.00073
9450/30000 PDE Loss: 0.03350, BC Loss: 0.11215,                   mse loss: 0.145648, combined loss: -0.00129
9500/30000 PDE Loss: 0.04924, BC Loss: 0.10749,                   mse loss: 0.156729, combined loss: -0.00019
9550/30000 PDE Loss: 0.01588, BC Loss: 0.05008,                   mse loss: 0.065963, combined loss: 0.00055
9600/30000 PDE Loss: 0.02481, BC Loss: 0.40871,                   mse loss: 0.433522, combined loss: -0.00038
9650/30000 PDE Loss: 0.01203, BC Loss: 0.15061,                   mse loss: 0.162636, combined loss: 0.00020
9700/30000 PDE Loss: 0.03978, BC Loss: 0.16743,                   mse loss: 0.207205, combined loss: -0.00040
9750/30000 PDE Loss: 0.04975, BC Loss: 2.06165,                   mse loss: 2.111402, combined loss: 0.29426
9800/30000 PDE Loss: 0.44752, BC Loss: 1.09847,                   mse loss: 1.545988, combined loss: 0.00964
9850/30000 PDE Loss: 0.04513, BC Loss: 0.25144,                   mse loss: 0.296577, combined loss: 0.00853
9900/30000 PDE Loss: 0.08697, BC Loss: 0.43103,                   mse loss: 0.517992, combined loss: 0.00253
9950/30000 PDE Loss: 0.07175, BC Loss: 0.22044,                   mse loss: 0.292194, combined loss: 0.00130
10000/30000 PDE Loss: 0.01868, BC Loss: 0.28482,                   mse loss: 0.303494, combined loss: -0.00210
10050/30000 PDE Loss: 0.03010, BC Loss: 0.31652,                   mse loss: 0.346620, combined loss: -0.00220
10100/30000 PDE Loss: 0.02267, BC Loss: 0.26610,                   mse loss: 0.288764, combined loss: 0.00389
10150/30000 PDE Loss: 0.02953, BC Loss: 0.11762,                   mse loss: 0.147143, combined loss: -0.00190
10200/30000 PDE Loss: 0.09622, BC Loss: 0.48875,                   mse loss: 0.584976, combined loss: 0.01186
10250/30000 PDE Loss: 0.05099, BC Loss: 0.46233,                   mse loss: 0.513324, combined loss: 0.00039
10300/30000 PDE Loss: 0.01864, BC Loss: 0.39355,                   mse loss: 0.412189, combined loss: -0.00037
10350/30000 PDE Loss: 0.03144, BC Loss: 0.48614,                   mse loss: 0.517581, combined loss: 0.00105
10400/30000 PDE Loss: 0.05503, BC Loss: 0.22845,                   mse loss: 0.283481, combined loss: 0.00086
10450/30000 PDE Loss: 0.18032, BC Loss: 39.03966,                   mse loss: 39.219978, combined loss: 1.12904
10500/30000 PDE Loss: 0.02630, BC Loss: 0.93299,                   mse loss: 0.959288, combined loss: 0.02937
10550/30000 PDE Loss: 0.07583, BC Loss: 0.57383,                   mse loss: 0.649660, combined loss: 0.00860
10600/30000 PDE Loss: 0.05238, BC Loss: 0.68584,                   mse loss: 0.738222, combined loss: 0.00152
10650/30000 PDE Loss: 0.01569, BC Loss: 0.38626,                   mse loss: 0.401951, combined loss: -0.00058
10700/30000 PDE Loss: 0.00553, BC Loss: 0.09927,                   mse loss: 0.104801, combined loss: -0.00047
10750/30000 PDE Loss: 0.00450, BC Loss: 0.07062,                   mse loss: 0.075126, combined loss: 0.00154
10800/30000 PDE Loss: 0.02370, BC Loss: 0.08932,                   mse loss: 0.113023, combined loss: -0.00034
10850/30000 PDE Loss: 0.02131, BC Loss: 0.11434,                   mse loss: 0.135642, combined loss: -0.00018
10900/30000 PDE Loss: 0.01860, BC Loss: 0.46505,                   mse loss: 0.483644, combined loss: -0.00079
10950/30000 PDE Loss: 0.01325, BC Loss: 0.50632,                   mse loss: 0.519577, combined loss: 0.00235
11000/30000 PDE Loss: 0.02131, BC Loss: 0.04636,                   mse loss: 0.067670, combined loss: -0.00013
11050/30000 PDE Loss: 1.16342, BC Loss: 1.47756,                   mse loss: 2.640984, combined loss: 0.01651
11100/30000 PDE Loss: 0.02129, BC Loss: 0.23846,                   mse loss: 0.259750, combined loss: -0.00498
11150/30000 PDE Loss: 0.02694, BC Loss: 0.10216,                   mse loss: 0.129099, combined loss: -0.00207
11200/30000 PDE Loss: 0.01572, BC Loss: 0.05614,                   mse loss: 0.071862, combined loss: 0.00081
11250/30000 PDE Loss: 0.02073, BC Loss: 0.40001,                   mse loss: 0.420741, combined loss: 0.00032
11300/30000 PDE Loss: 0.00666, BC Loss: 0.04579,                   mse loss: 0.052445, combined loss: -0.00122
11350/30000 PDE Loss: 0.00370, BC Loss: 0.03614,                   mse loss: 0.039839, combined loss: 0.00003
11400/30000 PDE Loss: 0.01088, BC Loss: 0.02314,                   mse loss: 0.034021, combined loss: 0.00160
11450/30000 PDE Loss: 0.03431, BC Loss: 0.25032,                   mse loss: 0.284630, combined loss: 0.00095
11500/30000 PDE Loss: 0.00401, BC Loss: 0.01591,                   mse loss: 0.019920, combined loss: 0.00052
11550/30000 PDE Loss: 0.39061, BC Loss: 0.35934,                   mse loss: 0.749943, combined loss: 0.11955
11600/30000 PDE Loss: 2.79921, BC Loss: 4.14955,                   mse loss: 6.948765, combined loss: -0.12600
11650/30000 PDE Loss: 0.77477, BC Loss: 0.88051,                   mse loss: 1.655281, combined loss: 0.03122
11700/30000 PDE Loss: 0.20274, BC Loss: 0.33802,                   mse loss: 0.540759, combined loss: -0.00360
11750/30000 PDE Loss: 0.09740, BC Loss: 1.34543,                   mse loss: 1.442833, combined loss: -0.00318
11800/30000 PDE Loss: 0.03845, BC Loss: 0.25475,                   mse loss: 0.293198, combined loss: 0.00094
11850/30000 PDE Loss: 0.01701, BC Loss: 0.07630,                   mse loss: 0.093318, combined loss: 0.00207
11900/30000 PDE Loss: 0.01486, BC Loss: 0.06666,                   mse loss: 0.081520, combined loss: -0.00278
11950/30000 PDE Loss: 0.38893, BC Loss: 1.29299,                   mse loss: 1.681921, combined loss: -0.02819
12000/30000 PDE Loss: 0.02384, BC Loss: 0.31400,                   mse loss: 0.337839, combined loss: 0.00042
12050/30000 PDE Loss: 0.01705, BC Loss: 0.32318,                   mse loss: 0.340233, combined loss: 0.00049
12100/30000 PDE Loss: 0.02111, BC Loss: 0.66501,                   mse loss: 0.686123, combined loss: -0.00041
12150/30000 PDE Loss: 0.03108, BC Loss: 0.12009,                   mse loss: 0.151163, combined loss: 0.00072
12200/30000 PDE Loss: 0.01311, BC Loss: 0.19297,                   mse loss: 0.206077, combined loss: 0.00054
12250/30000 PDE Loss: 0.01226, BC Loss: 0.34269,                   mse loss: 0.354951, combined loss: 0.00059
12300/30000 PDE Loss: 0.01458, BC Loss: 0.04271,                   mse loss: 0.057293, combined loss: 0.00021
12350/30000 PDE Loss: 0.01142, BC Loss: 0.03914,                   mse loss: 0.050551, combined loss: -0.00016
12400/30000 PDE Loss: 4.08056, BC Loss: 20.95997,                   mse loss: 25.040531, combined loss: 0.55176
12450/30000 PDE Loss: 1.09397, BC Loss: 1.69324,                   mse loss: 2.787210, combined loss: -0.02754
12500/30000 PDE Loss: 0.21006, BC Loss: 0.21653,                   mse loss: 0.426589, combined loss: 0.00282
12550/30000 PDE Loss: 0.02819, BC Loss: 0.11220,                   mse loss: 0.140393, combined loss: -0.00147
12600/30000 PDE Loss: 0.01057, BC Loss: 0.14335,                   mse loss: 0.153928, combined loss: 0.00055
12650/30000 PDE Loss: 0.01839, BC Loss: 0.52052,                   mse loss: 0.538905, combined loss: -0.00062
